"text","created","id","sentiment"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:25:07",892753128721973248,"neutral"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:25:04",892753116235476992,"neutral"
"RT @stockpicklist: $NBDR is making moves toward #triple #digit #gains Make your move #today #StockMarket #paid $psid $aapl $fb $aghi $ottv‚Ä¶","2017-08-02 14:25:03",892753112422907904,"neutral"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:25:00",892753102662774784,"neutral"
"RT @TDAJJKinahan: With $AAPL behind us, focus turns to TSLA, with hopes of more insight into the company‚Äôs delivery schedule. https://t.co/‚Ä¶","2017-08-02 14:24:56",892753085470310400,"positive"
"$AAPL Im still waiting.","2017-08-02 14:24:54",892753077362728960,"neutral"
"WE're IN $AAPL puts this am
I like the after earnings play.. https://t.co/yP6E6mvesN","2017-08-02 14:24:52",892753067505893376,"neutral"
"$AAPL Holding $156.68 targets $168.53. Otherwise my annual pivot of $151.69 remains magnet. https://t.co/hEp3jActtC https://t.co/0H719ITYsf","2017-08-02 14:24:47",892753048359063552,"positive"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:24:45",892753039349731328,"neutral"
"RT @stockpicklist: $NBDR is making moves toward #triple #digit #gains Make your move #today #StockMarket #paid $psid $aapl $fb $aghi $ottv‚Ä¶","2017-08-02 14:24:40",892753016117489664,"neutral"
"Imagine if $AAPL threw its weight behind blockchain Ì†æÌ¥ì","2017-08-02 14:24:38",892753006751604736,"negative"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:24:34",892752992612614144,"neutral"
"$SPY $DIA $QQQ $VIX $VXX $UVXY TRUMP-CRAPPLE TOP $AAPL  https://t.co/jqByIFKURs","2017-08-02 14:24:34",892752990679052288,"positive"
"$NBDR is making moves toward #triple #digit #gains Make your move #today #StockMarket #paid $psid $aapl $fb $aghi‚Ä¶ https://t.co/wNq2ygKsBf","2017-08-02 14:24:32",892752983825551360,"neutral"
"Comment: Apple's guidance suggests iPhone 8 will go on sale in September, with constrained supply‚Ä¶ https://t.co/MM5xe3PLOO","2017-08-02 14:24:29",892752969568894976,"positive"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:24:26",892752957976059904,"neutral"
"RT @nanexllc: During the first 15 minutes today, $AAPL was 10% of the total dollar value of all U.S. stocks AND ETFs traded","2017-08-02 14:24:25",892752953664315392,"negative"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:24:21",892752936983461888,"neutral"
"$AAPL so far opened on highs fading into the gap. Profit taking. Pre-earnings run started at $142 https://t.co/DkYayfKhqK","2017-08-02 14:24:14",892752907568914432,"negative"
"Are you Bullish or Bearish on #Apple? Start #Trading $AAPL with #BitcoinÌ†ΩÌ∏ç $QQQ #Stocks #Blockchain  #Cryptocurrency‚Ä¶ https://t.co/wiMWKdks4l","2017-08-02 14:24:13",892752904460881920,"negative"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:24:12",892752899926667264,"neutral"
"RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy all:

NFL teams Ì†ºÌøà
NBA teams Ì†ºÌøÄ
MLB teams ‚öæÔ∏è
NHL teams Ì†ºÌøí

and still have $75B‚Ä¶","2017-08-02 14:24:04",892752865856548864,"positive"
"RT @nanexllc: During the first 15 minutes today, $AAPL was 10% of the total dollar value of all U.S. stocks AND ETFs traded","2017-08-02 14:24:01",892752855110758400,"negative"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:23:57",892752837792419840,"neutral"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:23:57",892752836110544896,"neutral"
"$AAPL Boom full target hit netted out $2.00 on day trade shorts and $10,50 over night calls. $12.50 in less than ... https://t.co/rGx8bNDQ43","2017-08-02 14:23:57",892752835867275264,"negative"
"$AAPL below previous ATH","2017-08-02 14:23:55",892752830389518336,"neutral"
"$AAPL coming into a nice support level at previous all time highs. Watch it https://t.co/Lt3VEWjVHr","2017-08-02 14:23:55",892752830125232128,"positive"
"RT @TDAJJKinahan: With $AAPL behind us, focus turns to TSLA, with hopes of more insight into the company‚Äôs delivery schedule. https://t.co/‚Ä¶","2017-08-02 14:23:54",892752823657652224,"positive"
"RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy all:

NFL teams Ì†ºÌøà
NBA teams Ì†ºÌøÄ
MLB teams ‚öæÔ∏è
NHL teams Ì†ºÌøí

and still have $75B‚Ä¶","2017-08-02 14:23:49",892752804321927168,"positive"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:23:46",892752789692141568,"neutral"
"$AAPL now below last ATH","2017-08-02 14:23:45",892752785388830720,"neutral"
"Its early in the day, but $AAPL is struggling to hold the breakout. $DJI hit 22K but all the gain over past week ha‚Ä¶ https://t.co/gPACpT5dMi","2017-08-02 14:23:44",892752782029094912,"negative"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:23:44",892752781320355840,"neutral"
"@awarebiometrics $AWRE  @CapstoneTurbine $CPST LOSER HALL OF FAME co if @cnbc will not do it, WE WILL $AAPL $OCLR‚Ä¶ https://t.co/e582s6t8Zr","2017-08-02 14:23:43",892752776064892928,"positive"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:23:41",892752768045244416,"neutral"
"Apple given $185.00 PT by Independent Research GmbH. buy rating. https://t.co/tT7gG2KgRm $AAPL #AAPL","2017-08-02 14:23:36",892752747145162752,"negative"
"Trading desks at big funds ""Keep selling $AAPL to unsuspecting retail"".  Who knows how it ends but I can envisage ugly candle.  Remains to Ì†ΩÌ±Ä","2017-08-02 14:23:33",892752734725824512,"negative"
"RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy: 

Uber
Tesla
Netflix
Airbnb
Twitter

...and still have $29 billion left. $A‚Ä¶","2017-08-02 14:23:32",892752733442322432,"positive"
"Apple given $175.00 PT by Sanford C. Bernstein. buy rating. https://t.co/DmhLIzN0jt $AAPL #AAPL","2017-08-02 14:23:32",892752731571716096,"negative"
"@CounterPointTR @HuaweiMobile @xiaomi @james_a3 @Tarunpathak @SamsungMobile Couple of posts on $AAPL :

1/   Q2 201‚Ä¶ https://t.co/fErKQQJX5B","2017-08-02 14:23:28",892752713712140288,"neutral"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:23:24",892752700198313984,"neutral"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:23:22",892752690660466688,"neutral"
"Technicals by S&amp;P 500 stocks to 10:00: Mixed. Breakouts: $BBY $CB $ILMN $AME $AAPL $PALL. Breakdowns: $AN $PXD $AIZ $ABC $CAH $DVA $GGP","2017-08-02 14:23:22",892752689913880576,"negative"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:23:14",892752655428104192,"neutral"
"so, $AAPL closed on january 27, 2014 @ $72. today? trading at $157 but, you know, Ì†æÌ¥∑Ì†ºÌøæ‚Äç‚ôÇÔ∏èÌ†æÌ¥∑Ì†ºÌøæ‚Äç‚ôÇÔ∏èÌ†æÌ¥∑Ì†ºÌøæ‚Äç‚ôÇÔ∏èÌ†æÌ¥∑Ì†ºÌøæ‚Äç‚ôÇÔ∏è https://t.co/6J8RQNNcwO","2017-08-02 14:23:14",892752655390474240,"neutral"
"$GRMN $FIT $AAPL:

Garmin Tops Wall Street Estimates, Fueled by Outdoor Gadget Sales:

https://t.co/flJbxiK3YS","2017-08-02 14:23:07",892752625791188992,"neutral"
"$TWX $T $AAPL:

AT&amp;T: Wireless Executive Glenn Lurie to Retire Next Month:

https://t.co/UGfNjeAaz3","2017-08-02 14:23:06",892752623937372160,"positive"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:23:06",892752620955291648,"neutral"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:23:03",892752609777524736,"neutral"
"$AAPL puts, can we get to the breakout # of $155 ish? https://t.co/YiBGDXxgWC","2017-08-02 14:22:59",892752595441332224,"neutral"
"$NQ $NDX at trendline
$AAPL #FAANG https://t.co/WMMJRDtl24","2017-08-02 14:22:57",892752587111268352,"neutral"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:22:53",892752567825911808,"neutral"
"RT @theflynews: On The Fly: Pre-market Movers $AAPL $ILMN $HBI $FEYE $HUM $FMC $AN $SODA $GRPN $HLF https://t.co/PumPNV7K2q","2017-08-02 14:22:48",892752547374563328,"neutral"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:22:45",892752533202055168,"neutral"
"RT @ShannanSiemens: Now @SquawkStreet @jimcramer: Tim Cook is a big binge watcher. He gets it. $AAPL https://t.co/5XraxOL8zy","2017-08-02 14:22:39",892752511517556736,"neutral"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:22:38",892752506895421440,"neutral"
"keep taking profits on $AAPL short. https://t.co/nZm7FBo93F","2017-08-02 14:22:38",892752505842663424,"neutral"
"$AAPL right back to previous ATH in upper 156's wow","2017-08-02 14:22:37",892752501946146816,"neutral"
"With $AAPL behind us, focus turns to TSLA, with hopes of more insight into the company‚Äôs delivery schedule.‚Ä¶ https://t.co/AjCGSNzLt0","2017-08-02 14:22:34",892752488780242944,"positive"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:22:33",892752482987913216,"neutral"
"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶","2017-08-02 14:22:25",892752451320852480,"neutral"
